inning,homeaway,batter,out,base,sac,result,SB,visiR,homeR
1,away,61,0,0,,f9,,,
,,3,1,0,,s8,,,
,,3,1,1,,sb,0,,
,,24,2,0,,s7,,,
,,24,2,1,,sb,1,,
,,10,2,2,,or,,,
,home,1,0,0,,k,,,
,,24,1,0,,f3,,,
,,23,2,0,,f3,,,
2,away,9,0,0,,g3,,,
,,6,1,0,,f8,,,
,,13,2,0,,g5,,,
,home,31,0,0,,f3,,,
,,16,1,0,,k,,,
,,11,2,0,,s5,,,
,,66,2,1,,s8,,,
,,13,2,12,,f8,,,
3,away,41,0,0,,s4,,,
,,1,0,1,1,sb,,,
,,61,1,2,,g6,,,
,,3,2,2,,g5,,,
,home,21,0,0,,d9,,,
,,1,0,2,1,sb,,,
,,24,1,3,,bb,,,
,,23,1,13,,bb,,,
,,31,1,123,,f3,,,
,,16,2,123,,bb,,,1
,,11,2,123,,k,,,
4,away,24,0,0,,f4,,,
,,10,1,0,,k,,,
,,9,2,0,,d9,,,
,,6,2,2,,s6,,,
,,13,2,13,,g6,,,
,home,66,0,0,,k,,,
,,13,1,0,,k,,,
,,21,2,0,,g3,,,
5,away,41,0,0,,s4,,,
,,1,0,1,1,sb,,,
,,61,1,2,,g4,,,
,,3,2,3,,bb,,,
,,24,2,13,,g5,,,
,home,1,0,0,,f7,,,
,,24,1,0,,d9,,,
,,23,1,2,,s8,,,1
,,31,1,1,,f4,,,
,,16,2,1,,k,,,
6,away,10,0,0,,g3,,,
,,9,1,0,,f7,,,
,,6,2,0,,f8,,,
,home,11,0,0,,k,,,
,,66,1,0,,k,,,
,,13,2,0,,f9,,,
7,away,13,0,0,,g4,,,
,,41,1,0,,s7,,,
,,1,1,1,,g4,,,
,,34,2,2,,k,,,
,home,21,0,0,,k,,,
,,1,1,0,,g4,,,
,,24,2,0,,k,,,
8,away,3,0,0,,s8,,,
,,24,0,1,,s9,,,
,,10,0,13,,s9,,1,
,,9,0,12,0,sb,,,
,,6,1,12,,s5,,1,
,,13,2,2,,wp,,,
,,13,2,3,,f9,,,
,home,23,0,0,,s8,,,
,,31,0,1,,d7,,,
,,16,0,23,,s8,,,1
,,34,0,13,,or,,,
,,66,1,23,,f6,,,
,,13,2,23,,g5,,,
9,away,41,0,0,,g3,,,
,,1,1,0,,bb,,,
,,34,1,1,,f8,,,
,,1,2,1,,sb,1,,
,,3,2,2,,s8,,1,
,,24,2,1,,f9,,,
,home,9,0,0,,s8,,,
,,1,0,1,0,sb,,,
,,24,1,1,1,sb,,,
,,23,2,2,,bb,,,
,,31,2,12,,k,,,
10,away,2,0,0,,s9,,,
,,9,0,1,,bb,,,
,,6,0,12,1,sb,,,
,,13,1,23,,sf,,1,
,,41,2,3,,f7,,,
,home,59,0,0,,f8,,,
,,34,1,0,,s9,,,
,,66,1,1,,s9,,,
,,13,1,12,,g6,,,
