outs,bases,percent,run0,run1,run2,run3more,runs
0,0,24.3,0.747,0.136,0.068,0.049,0.461
1,0,17.3,0.855,0.085,0.039,0.021,0.243
2,0,13.7,0.933,0.042,0.018,0.007,0.102
0,1,6.4,0.604,0.166,0.127,0.103,0.813
1,1,7.6,0.734,0.124,0.092,0.05,0.498
2,1,7.8,0.886,0.045,0.048,0.021,0.219
0,2,1.1,0.381,0.344,0.129,0.146,1.194
1,2,2.4,0.61,0.224,0.104,0.062,0.671
2,2,2.9,0.788,0.158,0.038,0.016,0.297
0,3,0.2,0.12,0.64,0.11,0.13,1.39
1,3,0.7,0.307,0.529,0.104,0.06,0.98
2,3,1.2,0.738,0.208,0.03,0.024,0.355
0,12,1.4,0.395,0.22,0.131,0.254,1.471
1,12,2.6,0.571,0.163,0.119,0.147,0.939
2,12,3.3,0.791,0.1,0.061,0.048,0.403
0,13,0.4,0.13,0.41,0.18,0.28,1.94
1,13,1.1,0.367,0.4,0.105,0.128,1.115
2,13,1.6,0.717,0.167,0.045,0.071,0.532
0,23,0.3,0.18,0.25,0.26,0.31,1.96
1,23,0.7,0.27,0.24,0.28,0.21,1.56
2,23,0.8,0.668,0.095,0.17,0.067,0.687
0,123,0.3,0.18,0.26,0.21,0.35,2.22
1,123,0.8,0.303,0.242,0.172,0.283,1.642
2,123,1,0.671,0.092,0.102,0.135,0.823
